Fatal_Accident_Index,Fatal_Casualty_Type,Fatal_Casualty_Sex,Fatal_Casualty_Age
"2006100417506",Car_Driver,Male,72
"2006100429006",Car_Passenger,Male,19
"2006100458406",Motor_Cycle_Rider,Male,67
"2006100515806",Pedestrian,Male,78
"2006100534106",Car_Driver,Male,19
"2006100542606",Car_Driver,Female,72
"2006100579106",Car_Driver,Male,58
"2006100588906",Pedestrian,Female,19
"2006100632406",Motor_Cycle_Rider,Male,30
"2006100633906",Car_Driver,Male,35
"2006100634506",Car_Passenger,Female,91
"2006100658806",Pedestrian,Female,37
"2006100665606",Pedestrian,Female,86
"2006100670406",Pedestrian,Male,22
"2006100675306",Pedestrian,Female,32
"2006100699006",Pedal Cyclist,Male,77
"2006100706106",Bus_Passenger,Female,70
"2006100722606",Pedestrian,Female,74
"2006100797106",Motor_Cycle_Rider,Male,28
"2006100810606",Car_Passenger,Male,38
"2006100812206",Car_Driver,Male,21
"2006100824906",Car_Driver,Female,64
"2006100855406",Car_Passenger,Male,16
"2006100856706",Car_Driver,Male,67
"2006100867806",Pedestrian,Male,38
"2006100875906",Car_Passenger,Male,31
"2006100876706",Van_Passenger,Male,19
"2006100908006",Motor_Cycle_Rider,Male,20
"2006100927406",Pedestrian,Female,15
"2006100933406",Car_Driver,Male,40
"2006100958806",Car_Passenger,Female,47
"2006100958806",Car_Driver,Male,64
"200611AA10760",Other_Vehicle_Occupant,Male,40
"200611AA16670",Motor_Cycle_Rider,Male,23
"200611AA19320",Car_Passenger,Female,69
"200611AB19870",Van_Driver,Male,27
"200611BD10650",Pedal Cyclist,Male,9
"200611BD11080",Car_Passenger,Female,16
"200611BD12200",Motor_Cycle_Rider,Male,33
"200611BD13380",Motor_Cycle_Passenger,Female,39
"200611BD14400",Car_Driver,Male,24
"200611BD14920",Car_Driver,Male,43
"200611BD16320",Car_Driver,Male,17
"200611BE05080",Car_Driver,Male,23
"200611BE10420",Car_Driver,Male,15
"200611CG07440",Motor_Cycle_Rider,Male,77
"200611CG14410",Car_Driver,Male,20
"200611CG15160",Pedestrian,Female,87
"200611CG15380",Motor_Cycle_Rider,Male,35
"200611CI03040",Car_Passenger,Male,29
"200611CI11740",Car_Driver,Male,27
"200611CI14930",Motor_Cycle_Rider,Male,47
"200611CI16610",HGV_Driver,Male,43
"200611DC02060",Car_Driver,Male,30
"200611DJ06190",Pedestrian,Male,23
"200611DJ14170",Pedestrian,Male,16
"200611DJ16270",Motor_Cycle_Rider,Male,25
"200611DJ21370",Motor_Cycle_Rider,Male,36
"200611DJ22810",Car_Driver,Female,22
"200611DJ23620",Car_Driver,Male,23
"200611DJ30070",Car_Driver,Male,36
"2006120330296",Car_Driver,Male,73
"2006120600092",Car_Driver,Male,72
"2006120700514",Car_Driver,Male,17
"2006120721015",Van_Driver,Male,36
"2006120840616",Motor_Cycle_Rider,Male,19
"2006120980506",Car_Driver,Male,26
"2006121060395",Motor_Cycle_Rider,Male,32
